订单ID,工序阶段,设备ID,开始时间(秒),完成时间(秒),加工时长(秒),开始时间(小时),完成时间(小时),加工时长(小时)
ORD-003,COG/FOG绑定,EQ-06,0.00,137120.00,137120.00,0.00,38.09,38.09
ORD-001,COG/FOG绑定,EQ-03,0.00,26655.00,26655.00,0.00,7.40,7.40
ORD-001,点胶,EQ-01,26655.00,45075.00,18420.00,7.40,12.52,5.12
ORD-001,BLU组装,EQ-02,45075.00,79830.00,34755.00,12.52,22.18,9.65
ORD-001,Inspection,EQ-02,79830.00,94170.00,14340.00,22.18,26.16,3.98
ORD-003,点胶,EQ-01,137120.00,235360.00,98240.00,38.09,65.38,27.29
ORD-003,BLU组装,EQ-05,235360.00,421280.00,185920.00,65.38,117.02,51.64
ORD-004,COG/FOG绑定,EQ-06,137120.00,179970.00,42850.00,38.09,49.99,11.90
ORD-001,Final Inspection,EQ-05,421280.00,443630.00,22350.00,117.02,123.23,6.21
ORD-004,点胶,EQ-04,179970.00,210970.00,31000.00,49.99,58.60,8.61
ORD-004,BLU组装,EQ-02,210970.00,268895.00,57925.00,58.60,74.69,16.09
ORD-004,Inspection,EQ-02,268895.00,292795.00,23900.00,74.69,81.33,6.64
ORD-004,Final Inspection,EQ-02,292795.00,330670.00,37875.00,81.33,91.85,10.52
ORD-002,COG/FOG绑定,EQ-06,179970.00,214250.00,34280.00,49.99,59.51,9.52
ORD-002,点胶,EQ-04,214250.00,239050.00,24800.00,59.51,66.40,6.89
ORD-005,COG/FOG绑定,EQ-06,214250.00,265670.00,51420.00,59.51,73.80,14.28
ORD-005,点胶,EQ-01,265670.00,302510.00,36840.00,73.80,84.03,10.23
ORD-005,BLU组装,EQ-02,330670.00,400180.00,69510.00,91.85,111.16,19.31
ORD-005,Inspection,EQ-02,400180.00,428860.00,28680.00,111.16,119.13,7.97
ORD-005,Final Inspection,EQ-05,443630.00,488330.00,44700.00,123.23,135.65,12.42
ORD-003,Inspection,EQ-02,428860.00,505340.00,76480.00,119.13,140.37,21.24
ORD-003,Final Inspection,EQ-05,505340.00,624540.00,119200.00,140.37,173.48,33.11
ORD-002,BLU组装,EQ-02,505340.00,551680.00,46340.00,140.37,153.24,12.87
ORD-002,Inspection,EQ-02,551680.00,570800.00,19120.00,153.24,158.56,5.31
ORD-002,Final Inspection,EQ-02,570800.00,601100.00,30300.00,158.56,166.97,8.42
